gene_callers_id	MIT1002_ac_a	MIT1002_ac_b	MIT1002_ac_c	MIT1002_glc_a	MIT1002_glc_ac_5_a	MIT1002_glc_ac_5_c	MIT1002_glc_ac_8_a	MIT1002_glc_ac_8_b	MIT1002_glc_ac_8_c	MIT1002_glc_b	MIT1002_glc_c
3678	635.3016877637131	181.87130801687763	171.91139240506328	245.12447257383965	411.2278481012658	820.0886075949367	339.82489451476795	311.65400843881855	554.3776371308016	135.17299578059072	280.98945147679325
3679	592.8666666666667	170.90322580645162	179.92688172043012	278.73118279569894	383.494623655914	666.6322580645161	360.53548387096777	334.5397849462366	553.3548387096774	141.56129032258065	300.23440860215055
3680	945.7166666666667	315.04583333333335	360.6458333333333	159.25	635.7	904.2208333333333	307.1	354.4	604.8833333333333	115.08333333333333	225.475
3681	9628.951545530494	2508.378446115288	2764.7410192147036	2791.2263993316624	5751.076858813701	10338.977443609023	2726.251461988304	2458.7710944026735	4300.084377610693	1307.8245614035088	2738.0459482038427
3682	538.508658008658	156.03246753246754	156.85714285714286	115.13419913419914	402.3030303030303	713.3571428571429	247.05699855699856	229.18109668109668	389.93217893217894	77.22077922077922	159.64646464646464
3683	119.5031847133758	37.05095541401274	33.118895966029726	54.21868365180467	148.84288747346073	246.82377919320595	83.08917197452229	83.81104033970276	150.41613588110403	28.50955414012739	70.11252653927814
3684	51.68562874251497	14.915169660678643	14.084830339321357	31.98003992015968	34.461077844311376	57.191616766467064	37.420159680638726	34.08483033932136	57.41317365269461	16.160678642714572	32.4061876247505
3685	24.38152610441767	6.674698795180723	6.977911646586345	9.775100401606426	15.748995983935743	28.568273092369477	15.216867469879517	15.058232931726907	29.471887550200805	4.77710843373494	14.238955823293173
3686	29.368055555555557	5.850694444444445	10.17361111111111	10.461805555555555	13.866319444444445	26.23263888888889	14.802083333333334	14.760416666666666	24.510416666666668	8.086805555555555	13.003472222222221
3687	100.9800307219662	30.798771121351766	32.47926267281106	84.58678955453149	73.00307219662058	124.53917050691244	70.71889400921658	71.50384024577573	131.37173579109063	40.16129032258065	87.93241167434716
3688	96.57053009883198	28.335130278526506	28.5759209344115	30.8607367475292	61.35579514824798	111.55795148247978	47.106019766397125	44.14375561545373	78.52920035938904	16.058400718778078	33.6262353998203
3689	14.320289855072463	4.033333333333333	3.9405797101449274	4.6	9.078260869565218	14.531884057971014	6.694202898550724	7.01304347826087	11.530434782608696	1.791304347826087	3.0057971014492755
3690	18.49266247379455	5.589797344514325	5.617749825296995	5.120195667365478	11.362683438155136	18.348008385744233	6.922431865828092	7.853249475890985	12.357092941998602	2.379454926624738	6.5415793151642205
3691	8.225464190981432	2.352785145888594	2.508399646330681	3.702917771883289	5.190981432360743	7.912466843501326	3.301503094606543	3.4792219274977896	7.452696728558798	1.841732979664014	3.416445623342175
3692	17.06891495601173	4.928152492668621	5.749266862170088	3.959921798631476	9.87047898338221	17.854349951124146	5.62316715542522	5.010263929618769	8.533235581622678	1.7223851417399805	3.5899315738025415
3693	14.980716253443527	4.2837465564738295	6.710743801652892	7.108356290174472	10.130394857667586	16.3287419651056	7.017447199265381	7.038567493112947	8.396694214876034	3.4168962350780534	7.419651056014692
3694	8.385436283741369	2.2419962335216574	2.40646578782172	3.4849340866290017	5.368801004394225	9.55398618957941	3.8609541745134965	3.3505963590709356	6.426239799121155	2.1707470182046453	4.6795354676710605
