Accession	DSS3_ac_a	DSS3_ac_b	DSS3_ac_c	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_a	DSS3_glc_b	DSS3_glc_c
SPO1746	0.000110173	0.000351317	0.000323774	0.000182123	0.000162449	0.000247889	0.000224843	0.000351317	0.000224843	0.000878686	0.001372947	0.000315657
SPO1747	2.90571E-06	1.16228E-05	1.16228E-05	2.61514E-05	1.16228E-05	2.90571E-06	2.90571E-06		2.90571E-06	0.000359463	0.000159761	0.000386236
SPO1748	0.000201739			0.000140097	0.000201739	0.000274589	0.000140097	0.000201739	0.000453913	0.000219672	3.23046E-05	0.000219672
SPO1749	3.38477E-06	8.46192E-05	4.14634E-05	4.14634E-05	2.11548E-05	3.04629E-05	2.11548E-05	4.14634E-05	3.38477E-06		9.93989E-06	0.00015255
SPO1750	0.001610925	0.002164264	0.001684981	0.00251707	0.00251707	0.001078388	0.003735249	0.002249969	0.001201537	0.004120558	0.017140483	0.016499775
SPO1751	0.000100215	0.00014431	0.000324697	1.60344E-05	6.41377E-05	0.000400861	6.41377E-05	0.000256551	0.000324697	6.04714E-05	0.000390527	0.000998507
SPO1753	0.001017389	0.001408151	0.001017389	0.002200236	0.002027737	0.002027737	0.003604867	0.005083425	0.002027737	0.000878686	0.000878686	0.000177712
SPO1754	2.41397E-05	5.43144E-05	9.65589E-05	5.43144E-05	5.43144E-05	3.77183E-05	5.43144E-05	9.65589E-05	9.65589E-05	4.18581E-05	0.000219672	8.26999E-05
SPO1755	3.29343E-06	7.41021E-06	1.31737E-05	2.05839E-05	7.41021E-06	8.23357E-07	1.31737E-05	2.96408E-05	1.31737E-05	2.67892E-05	8.97351E-05	3.23046E-05
SPO1756	0.001142059	0.001586355	0.001784467	0.001994233	0.002215653	0.001586355	0.001586355	0.002103486	0.001586355	0.004704504	0.007053898	0.000935746
SPO1757										6.10199E-06		6.10199E-06
SPO1759	1.12652E-05	1.12652E-05	2.53467E-05	1.12652E-05		1.12652E-05	2.53467E-05	4.50608E-05	0.000101387	3.35684E-05	0.00015255	0.000253467
SPO1761	0.003115449	0.002722337	0.002239413	0.002597189	0.003115449	0.002474986	0.002722337	0.002355727	0.001803604	0.005131772	0.001270077	0.001052705
SPO1762	0.000147048	0.000243079	0.000147048	0.000147048	0.000147048	0.000300098	0.000300098	0.000192063	0.000108035	0.000494261	0.000159761	0.000298997
SPO1763	0.000415317	0.000415317	0.000343237	0.000278022	0.000123565	0.00058007	0.000168186	0.000415317	0.000278022	0.000123411	0.000134274	0.000255652
SPO1764	2.1286E-06											
