gene_callers_id	DSS3_ac_a	DSS3_ac_b	DSS3_glc_a	DSS3_glc_ac_19_a	DSS3_glc_ac_19_b	DSS3_glc_ac_19_c	DSS3_glc_ac_34_a	DSS3_glc_ac_34_b	DSS3_glc_ac_34_c	DSS3_glc_b	DSS3_glc_c
329	186.69626998223802	210.6980461811723	118.9538188277087	148.94849023090586	116.6873889875666	106.60213143872113	165.202486678508	151.0550621669627	246.04085257548846	141.4120781527531	113.62699822380107
330	400.8806613946801	423.98130841121497	298.82602444284686	391.2782171099928	285.5672178289001	280.72681524083396	280.4349388928828	229.28540618260246	355.84399712437096	343.49460819554275	307.2372393961179
331	1893.7197802197802	1275.0879120879122	819.2857142857143	1151.0164835164835	1006.7472527472528	981.021978021978	660.6263736263736	925.9175824175824	1094.7692307692307	882.3296703296703	830.7637362637363
332	575.9399209486166	635.2616600790514	404.40632411067196	667.1383399209486	507.1090909090909	487.498023715415	335.8924901185771	296.10671936758894	461.2213438735178	567.3304347826087	479.4885375494071
333	791.7630961688819	838.7744331508991	413.3854573885848	444.795543393276	351.41946833463646	333.4698983580923	330.6903831118061	316.59968725566847	480.10242376856917	475.3033620015637	411.98123534010944
334	1456.8891537544696	1485.5089392133493	1195.9547079856973	1396.6174016686532	1039.839094159714	1025.7056019070321	778.2741358760429	809.3504171632896	1117.585220500596	1043.8986889153755	1016.0703218116806
335	307.95075239398085	388.6415868673051	416.91518467852256	529.4295485636115	401.484268125855	392.33515731874144	343.9822161422709	349.5964432284542	477.5143638850889	536.7373461012312	469.2872777017784
336	334.4638487208009	430.9265850945495	399.146829810901	496.9210233592881	371.06340378197996	366.119021134594	330.91101223581757	302.61846496106784	449.2369299221357	508.9421579532814	421.622914349277
337	499.3515731874145	481.3173734610123	391.59233926128593	488.91518467852256	342.296853625171	339.93844049247605	251.93707250341998	238.50068399452803	348.5800273597811	440.99863201094394	405.1080711354309
338	1387.5317002881845	1606.0540345821325	392.81051873198845	1206.3465417867435	918.764409221902	888.1491354466859	222.87536023054756	197.64409221902017	290.26729106628244	425.20461095100865	393.6757925072046
339	772.6245353159851	770.446096654275	177.95910780669146	527.2416356877324	385.1598513011152	378.8401486988848	85.47955390334573	62.360594795539036	107.82156133828997	212.5799256505576	194.78810408921933
340	965.0523872679045	1019.329575596817	164.26127320954907	551.7745358090185	396.2413793103448	398.05106100795757	75.2208222811671	64.26392572944297	95.02586206896552	170.65318302387269	153.7818302387268
341	943.277308082516	1014.9232330064254	221.95637470409198	661.1961447412918	456.34426783902603	433.768684477511	112.65742306391613	94.02096719648293	136.35001690902942	243.3635441325668	214.86202231991885
342	716.7870090634441	805.9622356495469	173.3368580060423	471.0453172205438	349.2069486404834	351.2250755287009	124.89577039274924	111.45770392749245	153.56344410876133	205.35196374622356	182.60271903323263
343	873.7513611615245	1024.7205081669692	178.01814882032667	612.8112522686025	498.2177858439201	506.8294010889292	76.82758620689656	84.06352087114338	100.63157894736842	179.86206896551724	156.94010889292196
344	1828.0984162895927	1910.420814479638	266.4004524886878	1272.606334841629	873.802036199095	892.6527149321267	113.15045248868778	97.92986425339366	138.70361990950227	289.7239819004525	222.2714932126697
